cluster_name;cluster_type;warehouse_id;warehouse_type;warehouse_name
Армения;CIS;1020000407473000;FULL_FILLMENT;ЕРЕВАН_МРФЦ
Армения;CIS;1020000407516000;CROSS_DOCK;ЕРЕВАН_МРФЦ_КРОССДОКИНГ
Беларусь;CIS;23402539267000;FULL_FILLMENT;МИНСК_МПСЦ
Беларусь;CIS;1020000819828000;SORTING_CENTER;МИНСК_КГТ
Беларусь;CIS;1020001556338000;CROSS_DOCK;МИНСК_МРФЦ_НЕГАБАРИТ_КРОССДОКИНГ
Беларусь;CIS;1020002865403000;SORTING_CENTER;СЦ_ФФ_МИНСК_МПСЦ_ВОЗВРАТЫ
Беларусь;CIS;1020001556240000;FULL_FILLMENT;МИНСК_МРФЦ_НЕГАБАРИТ
Беларусь;CIS;1020001356434000;CROSS_DOCK;МИНСК_МПСЦ_Кроссдокинг_ИМПОРТ
Беларусь;CIS;1020000056565000;CROSS_DOCK;МИНСК_МПСЦ_Кроссдокинг
Воронеж;OZON;23963150422000;ORDERS_RECEIVING_POINT;ВОРОНЕЖ_СППЗ_45-СТРЕЛКОВОЙ ДИВИЗИИ_62
Воронеж;OZON;1020002160746000;ORDERS_RECEIVING_POINT;ВОРОНЕЖ_АППЗ_2
Воронеж;OZON;20547967168000;SORTING_CENTER;ВОРОНЕЖ_ХАБ_ЛОГВИЛЛ_КГТ
Воронеж;OZON;20547967160000;SORTING_CENTER;ВОРОНЕЖ_ХАБ_ЛОГВИЛЛ
Воронеж;OZON;1020002581497000;ORDERS_RECEIVING_POINT;ВОРОНЕЖ_АППЗ_3
Воронеж;OZON;1020000995023000;SORTING_CENTER;СЦ_Воронеж_Акварельная_Возвраты
Воронеж;OZON;19815467502000;SORTING_CENTER;СЦ_ВОРОНЕЖ_ПРОМЫШЛЕННАЯ 
Воронеж;OZON;21807384609000;SORTING_CENTER;СЦ_ВОРОНЕЖ
Воронеж;OZON;1020001007805000;FULL_FILLMENT;ВОРОНЕЖ_2_РФЦ
Воронеж;OZON;1020001007922000;CROSS_DOCK;ВОРОНЕЖ_2_РФЦ_КРОССДОКИНГ
Воронеж;OZON;23684735180000;FULL_FILLMENT;ВОРОНЕЖ_МРФЦ
Воронеж;OZON;1020002196480000;FULL_FILLMENT;ВОРОНЕЖ_РФЦ_НЕГАБАРИТ
Воронеж;OZON;20547966358000;SORTING_CENTER;ТСЦ_ВОРОНЕЖ_ТСЦ
Воронеж;OZON;23860043883000;CROSS_DOCK;ВОРОНЕЖ_МРФЦ_Кроссдокинг
Воронеж;OZON;1020000980265000;SORTING_CENTER;ВОРОНЕЖ_ХАБ_АКВАРЕЛЬНАЯ
Воронеж;OZON;1020002196551000;CROSS_DOCK;ВОРОНЕЖ_РФЦ_НЕГАБАРИТ_КРОССДОКИНГ
Дальний Восток;OZON;21957712892000;CROSS_DOCK;ХАБАРОВСК_РФЦ_Кроссдокинг
Дальний Восток;OZON;20547966481000;SORTING_CENTER;СЦ_ХАБАРОВСК_ПУТЕВАЯ
Дальний Восток;OZON;1020002042107000;SORTING_CENTER;ХАБАРОВСК_ХАБ_ИНДУСТРИАЛЬНАЯ
Дальний Восток;OZON;1020000890284000;CROSS_DOCK;ХАБАРОВСК_2_РФЦ_КРОССДОКИНГ
Дальний Восток;OZON;1020000890160000;FULL_FILLMENT;ХАБАРОВСК_2_РФЦ
Дальний Восток;OZON;1020000811274000;SORTING_CENTER;ХАБАРОВСК_ХАБ_СУВОРОВА
Дальний Восток;OZON;1020002927951000;FULL_FILLMENT;ХАБАРОВСК_2_РФЦ_ПАЛЛЕТНЫЙ
Дальний Восток;OZON;21225173751000;FULL_FILLMENT;Хабаровск_РФЦ
Дальний Восток;OZON;1020001008722000;SORTING_CENTER;ХАБАРОВСК_КГТ
Кавказ;OZON;1020000950023000;SORTING_CENTER;СЦ_Ставрополь_Кулакова_Возвраты
Кавказ;OZON;1020002702559000;ORDERS_RECEIVING_POINT;СТАВРОПОЛЬ_АППЗ_2
Кавказ;OZON;1020002927910000;FULL_FILLMENT;НЕВИННОМЫССК_РФЦ_ПАЛЛЕТНЫЙ
Кавказ;OZON;1020002220254000;ORDERS_RECEIVING_POINT;СТАВРОПОЛЬ_АППЗ_1
Кавказ;OZON;1020002495388000;SORTING_CENTER;СЦ_Невинномысск_Возвраты
Кавказ;OZON;1020002495382000;SORTING_CENTER;НЕВИННОМЫССК_ХАБ
Кавказ;OZON;20547967105000;SORTING_CENTER;СТАВРОПОЛЬ_ХАБ_РАКИТНАЯ
Кавказ;OZON;1020001351243000;FULL_FILLMENT;НЕВИННОМЫССК_РФЦ
Кавказ;OZON;1020001351249000;CROSS_DOCK;НЕВИННОМЫССК_РФЦ_КРОССДОКИНГ
Кавказ;OZON;1020000949962000;SORTING_CENTER;СТАВРОПОЛЬ_ХАБ_КУЛАКОВА
Кавказ;OZON;1020002541543000;SORTING_CENTER;НЕВИННОМЫССК_ХАБ_КГТ
Кавказ;OZON;16187533603000;SORTING_CENTER;СЦ_СТАВРОПОЛЬ
Кавказ;OZON;1020000969743000;SORTING_CENTER;СТАВРОПОЛЬ_ХАБ_РАКИТНАЯ_КГТ
Казань;OZON;1020000978396000;SORTING_CENTER;НИЖНИЙ_НОВГОРОД_ХАБ_КРАСНЫЙ_ ЯКОРЬ
Казань;OZON;22216626852000;ORDERS_RECEIVING_POINT;ППЗ_КАЗАНЬ_ГАГАРИНА
Казань;OZON;23963011321000;ORDERS_RECEIVING_POINT;КАЗАНЬ_СППЗ_ГАГАРИНА
Казань;OZON;1020000189638000;ORDERS_RECEIVING_POINT;КАЗАНЬ_АППЗ_3
Казань;OZON;20547966368000;SORTING_CENTER;НИЖНИЙ_НОВГОРОД_ХАБ_КУДЬМА
Казань;OZON;1020001273589000;SORTING_CENTER;НИЖНИЙ_НОВГОРОД_ХАБ_ТЕПЛИЧНАЯ_Блок_1
Казань;OZON;1020001625568000;SORTING_CENTER;ДЗЕРЖИНСК_ТСЦ
Казань;OZON;1020002542735000;SORTING_CENTER;СЦ_НИЖНИЙ_НОВГОРОД_Возвраты
Казань;OZON;1020002630205000;FULL_FILLMENT;ВЕТАПТЕКА_НИНО
Казань;OZON;1020000471824000;SORTING_CENTER;СЦ_НИЖНИЙ_НОВГОРОД_ИНДУСТРИАЛЬНАЯ_Возвраты
Казань;OZON;1020002462483000;SORTING_CENTER;ДЗЕРЖИНСК _КГТ
Казань;OZON;1020002418177000;CROSS_DOCK;НИНО_РФЦ_НЕГАБАРИТ_КРОССДОКИНГ
Казань;OZON;1020002418138000;FULL_FILLMENT;НИНО_РФЦ_НЕГАБАРИТ
Казань;OZON;1020001762016000;SORTING_CENTER;НИНО_ТСЦ_ТЕПЛИЧНАЯ
Казань;OZON;1020000615395000;ORDERS_RECEIVING_POINT;КАЗАНЬ_АППЗ_4
Казань;OZON;23953666717000;ORDERS_RECEIVING_POINT;КАЗАНЬ_АППЗ_2
Казань;OZON;23990514366000;SORTING_CENTER;КАЗАНЬ_ХАБ_ТЭЦЕВСКАЯ_КГТ
Казань;OZON;1020002079439000;SORTING_CENTER;КАЗАНЬ_ХАБ_ЗЕЛЕНОДОЛЬСК_КГТ
Казань;OZON;20547966580000;SORTING_CENTER;ТСЦ_КАЗАНЬ_АЭРОПОРТ
Казань;OZON;21704470486000;SORTING_CENTER;СЦ_Казань_Столбище
Казань;OZON;1020002066005000;FULL_FILLMENT;КЗН_СТОЛБИЩЕ_РФЦ_НЕГАБАРИТ
Казань;OZON;1020000844824000;SORTING_CENTER;КАЗАНЬ_ХАБ_АЭРОПОРТ
Казань;OZON;1020002066136000;CROSS_DOCK;КЗН_СТОЛБИЩЕ_РФЦ_НЕГАБАРИТ_КРОССДОКИНГ
Казань;OZON;1020002405059000;SORTING_CENTER;КАЗАНЬ_ХАБ_АЭРОПОРТ_КГТ
Казань;OZON;16188790631000;SORTING_CENTER;СЦ_КАЗАНЬ_НОВЫЙ
Казань;OZON;1020001280299000;SORTING_CENTER;СЦ_НИЖНИЙ_НОВГОРОД_ТЕПЛИЧНАЯ_Возвраты
Казань;OZON;1020002927942000;FULL_FILLMENT;КАЗАНЬ_РФЦ_ПАЛЛЕТНЫЙ
Казань;OZON;1020002010287000;SORTING_CENTER;КАЗАНЬ_ХАБ_ЗЕЛЕНОДОЛЬСК
Казань;OZON;1020002011879000;SORTING_CENTER;СЦ_КАЗАНЬ_ХАБ_ЗЕЛЕНОДОЛЬСК_Возвраты
Казань;OZON;1020002100622000;SORTING_CENTER;КАЗАНЬ_ХАБ_ЗЕЛЕНОДОЛЬСК_БЛОК_2
Казань;OZON;1020000986290000;SORTING_CENTER;КАЗАНЬ_ТСЦ_ТУРА
Казань;OZON;21957475354000;CROSS_DOCK;КАЗАНЬ_РФЦ_Кроссдокинг
Казань;OZON;23962971740000;ORDERS_RECEIVING_POINT;КАЗАНЬ_СППЗ_САЛИМЖАНОВА
Казань;OZON;1020001415725000;SORTING_CENTER;ЗЕЛЕНОДОЛЬСК_ТСЦ
Казань;OZON;1020001280810000;SORTING_CENTER;НИЖНИЙ_НОВГОРОД_ХАБ_ТЕПЛИЧНАЯ_КГТ
Казань;OZON;18044494830000;FULL_FILLMENT;Казань_РФЦ_НОВЫЙ
Казань;OZON;23599177351000;FULL_FILLMENT;НИЖНИЙ_НОВГОРОД_РФЦ
Казань;OZON;23960969555000;SORTING_CENTER;НИЖНИЙ_НОВГОРОД_ХАБ_ИНДУСТРИАЛЬНАЯ
